Date,Total,English Mobile,Japanese Mobile,Spanish Mobile,German Mobile,Russian Mobile,French Mobile,Italian Mobile
2010/06/01,208280310,147977836,17809786,9369170,4122690,8195299,7097283,3601673
2010/07/01,372132091,278327012,28394287,13668968,8950452,12875048,8148804,4880655
2010/08/01,400944073,292649435,33072856,15319698,10564184,15812894,8615441,6215748
2010/09/01,425385736,308748612,33404730,17164171,11807268,16291336,10535929,6215555
2010/10/01,432613085,314486485,31851931,17408353,11501680,16066117,12408818,5892838
2010/11/01,491794260,349765196,39647998,20769311,12813399,19150519,14981251,7228372
2010/12/01,555653967,395806618,46486873,23444459,13279423,21042051,17847127,8102866
2011/01/01,680527579,473666865,66024071,31057975,18224248,26031268,19734794,11105273
2011/02/01,692464914,474485604,71955380,29621900,20710352,26531476,19955837,12048628
2011/03/01,622902258,412602980,71516492,28302165,20540505,24355948,19228891,10731203
2011/04/01,728233197,485265239,85519986,30645173,24255944,26588526,21478879,11291385
2011/05/01,762990098,498279380,95856745,32195180,27317424,27715065,21891242,12324058
2011/06/01,801552556,527599350,96806760,35067206,27744011,28634979,22097952,13099252
2011/07/01,857407355,571859457,108449709,34129202,29321690,28213198,19454859,13441276
2011/08/01,916946743,590078181,112019176,36010958,40792718,32550585,23320682,17595039
2011/09/01,887103215,556519235,114917611,35136885,42295306,27847084,26131473,16013630
2011/10/01,1111140204,687274491,143102045,48769995,51284025,36238792,37921767,19378412
2011/11/01,1325724262,806976298,172878247,62186820,60289133,45299992,44936278,25354308
2011/12/01,1533885014,944881712,189591286,74903496,61279596,53304120,52460396,33028388
2012/01/01,1681435126,1019997286,225008795,85592570,73497001,58556530,52199562,36746917
2012/02/01,1663482355,992947277,224398907,81796107,79554420,59454754,54868457,37217358
2012/03/01,1858551326,1047002920,245139577,92092638,90028886,70076099,64442825,43142093
2012/04/01,2089385579,1118962375,259903963,105570639,99968261,89275527,75724578,51571512
2012/05/01,1972654819,1086800537,281568702,96406761,97427724,78633925,65515456,49022472
2012/06/01,2073353860,1151723222,312952132,102527314,99556698,75439465,60612246,50173233
2012/07/01,2124669435,1210942112,333233884,94695954,99722450,73144742,56446986,51431312
2012/08/01,2236635112,1238992790,367042392,97455153,118013035,82419690,55580265,58584594
2012/09/01,2351718507,1251680368,377530304,112630241,130271971,88354930,68362158,66536030
2012/10/01,2388454353,1275471167,372739871,118209681,135254174,90711002,77863314,63866634
2012/11/01,2582537850,1368813215,385430496,136489626,141869546,101341600,89301166,70127552
2012/12/01,2709040399,1420310049,384985842,133348162,138459963,102447934,149142429,73069664
2013/01/01,3074059424,1601166830,449673502,162281981,166719431,116239394,146901574,90786601
